gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_flag,monthly_high_flag,tenure_group,internet_flag,total_services,many_services_flag,paperless_flag,payment_echeck,payment_auto,contract_short,internet_short
Male,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.0,316.2,No,0,0,4-12,0,2,0,0,1,0,Month-to-month,No
Female,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.95,547.65,Yes,1,1,4-12,1,6,1,1,0,0,Month-to-month,Fiber_optic
Male,1,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.7,2082.95,Yes,1,1,13-24,1,5,1,1,1,0,Month-to-month,Fiber_optic
Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,74.15,1387.0,No,0,1,13-24,1,3,1,0,0,0,Month-to-month,Fiber_optic
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.85,18.85,Yes,1,0,0-3,0,1,0,1,0,0,Month-to-month,No
Female,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.6,605.25,No,0,0,13-24,0,2,0,0,0,1,One_year,No
Female,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.25,743.75,No,0,1,4-12,1,5,1,1,1,0,Month-to-month,Fiber_optic
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.75,75.75,Yes,1,1,0-3,1,3,1,1,1,0,Month-to-month,Fiber_optic
Male,0,Yes,No,9,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),69.05,653.95,No,0,1,4-12,1,6,1,1,0,1,Month-to-month,DSL
Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.05,80.05,Yes,1,1,0-3,1,3,1,1,0,0,Month-to-month,Fiber_optic
Male,0,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),44.7,44.7,Yes,1,0,0-3,1,2,0,0,0,1,Month-to-month,DSL
Female,0,No,Yes,1,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,60.0,60.0,Yes,1,0,0-3,1,5,1,1,1,0,Month-to-month,DSL
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.5,19.5,Yes,1,0,0-3,0,1,0,0,0,0,Month-to-month,No
Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1,296.15,No,0,0,13-24,0,1,0,0,0,0,One_year,No
Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.9,202.3,No,0,0,4-12,0,1,0,0,0,1,Two_year,No
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.5,20.5,Yes,1,0,0-3,0,1,0,1,0,0,Month-to-month,No
Female,0,No,No,22,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.35,1098.85,No,0,0,13-24,1,4,1,1,1,0,Month-to-month,DSL
Male,0,Yes,No,4,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,65.6,250.1,No,0,1,4-12,1,5,1,0,1,0,Month-to-month,DSL
Female,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.65,158.95,No,0,0,4-12,0,1,0,0,0,0,Month-to-month,No
Female,1,No,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.5,1400.3,No,0,1,13-24,1,4,1,1,1,0,Month-to-month,Fiber_optic
Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,1275.65,No,0,1,4-12,1,7,1,1,1,0,Month-to-month,Fiber_optic
Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.85,1776.95,Yes,1,1,13-24,1,6,1,1,0,1,Month-to-month,Fiber_optic
Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.5,146.3,Yes,1,0,4-12,0,1,0,0,0,1,Month-to-month,No
Male,0,No,No,23,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.3,2192.9,No,0,1,13-24,1,5,1,0,0,0,Month-to-month,Fiber_optic
Male,0,No,No,11,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,53.75,608.0,Yes,1,0,4-12,1,4,1,0,1,0,Month-to-month,DSL
Male,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23.75,424.5,No,0,0,13-24,0,2,0,0,0,0,One_year,No
Male,0,Yes,Yes,21,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,26.05,565.75,No,0,0,13-24,1,1,0,1,1,0,Month-to-month,DSL
Male,0,No,No,16,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,55.3,875.35,No,0,0,13-24,1,4,1,0,1,0,Month-to-month,DSL
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.6,86.6,Yes,1,1,0-3,1,4,1,1,1,0,Month-to-month,Fiber_optic
Male,0,No,No,3,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.15,169.05,Yes,1,0,0-3,1,3,1,1,1,0,Month-to-month,DSL
Female,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.05,256.25,Yes,1,1,0-3,1,3,1,1,0,1,Month-to-month,Fiber_optic
Male,0,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,50.15,50.15,No,0,0,0-3,1,3,1,1,0,0,Month-to-month,DSL
Male,0,No,No,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.75,270.95,Yes,1,0,4-12,1,2,0,0,1,0,Month-to-month,DSL
Male,0,No,No,3,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.15,159.15,Yes,1,0,0-3,1,3,1,0,0,0,Month-to-month,DSL
Male,0,No,Yes,8,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,44.55,343.45,No,0,0,4-12,1,4,1,1,0,0,Two_year,DSL
Female,0,No,No,18,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,40.2,711.95,No,0,0,13-24,1,4,1,1,0,0,One_year,DSL
Female,1,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.35,1375.15,Yes,1,1,13-24,1,4,1,1,0,1,Month-to-month,Fiber_optic
Male,0,No,No,5,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,51.0,305.95,Yes,1,0,4-12,1,4,1,1,0,0,Month-to-month,DSL
Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),19.35,433.75,No,0,0,13-24,0,1,0,1,0,1,One_year,No
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,Yes,1,1,0-3,1,4,1,1,1,0,Month-to-month,Fiber_optic
Female,0,No,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,87.1,341.45,Yes,1,1,4-12,1,5,1,1,0,0,Month-to-month,Fiber_optic
Male,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.45,136.75,No,0,0,4-12,0,1,0,0,0,0,One_year,No
Female,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.7,24.7,No,0,0,0-3,1,1,0,0,0,0,Month-to-month,DSL
Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,1,4-12,1,5,1,1,1,0,Month-to-month,Fiber_optic
Male,0,No,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.65,220.1,Yes,1,1,0-3,1,2,0,0,1,0,Month-to-month,Fiber_optic
Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,86.85,156.35,Yes,1,1,0-3,1,4,1,1,0,0,Month-to-month,Fiber_optic
Female,0,No,No,13,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),67.8,842.25,No,0,1,13-24,1,6,1,0,0,1,Month-to-month,DSL
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.35,69.35,Yes,1,1,0-3,1,2,0,1,1,0,Month-to-month,Fiber_optic
Female,0,No,No,2,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,30.9,59.05,Yes,1,0,0-3,1,2,0,1,1,0,Month-to-month,DSL
Female,0,Yes,Yes,3,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,40.3,92.5,No,0,0,0-3,1,3,1,0,0,0,Month-to-month,DSL
Male,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.85,462.8,Yes,1,1,4-12,1,5,1,1,0,1,Month-to-month,Fiber_optic
Female,0,Yes,Yes,6,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,54.85,355.1,No,0,0,4-12,1,3,1,0,1,0,Month-to-month,DSL
Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,41.85,No,0,0,0-3,0,1,0,0,0,0,Month-to-month,No
Female,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),48.6,48.6,Yes,1,0,0-3,1,3,1,1,0,1,Month-to-month,DSL
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,0,13-24,1,3,1,1,0,0,Month-to-month,DSL
Male,0,No,No,10,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),56.75,503.25,No,0,0,4-12,1,3,1,1,0,1,Month-to-month,DSL
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.9,136.05,No,0,1,0-3,1,3,1,1,0,0,Month-to-month,Fiber_optic
Male,0,No,No,19,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.25,1490.95,Yes,1,1,13-24,1,4,1,1,1,0,Month-to-month,Fiber_optic
Female,0,No,Yes,15,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.9,1269.55,Yes,1,1,13-24,1,4,1,1,0,1,Month-to-month,Fiber_optic
Female,1,No,No,18,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.55,1359.45,No,0,1,13-24,1,3,1,1,1,0,Month-to-month,Fiber_optic
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,53.55,53.55,Yes,1,0,0-3,1,3,1,1,0,0,Month-to-month,DSL
Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.7,260.9,No,0,0,4-12,0,1,0,0,0,0,One_year,No
Male,1,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.05,94.15,No,0,0,4-12,0,1,0,0,0,1,Month-to-month,No
Female,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,50.15,50.15,No,0,0,0-3,1,3,1,0,1,0,Month-to-month,DSL
Male,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.85,335.75,No,0,1,0-3,1,5,1,1,1,0,Month-to-month,Fiber_optic
Female,0,Yes,No,11,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),96.2,1222.05,Yes,1,1,4-12,1,6,1,1,0,1,Month-to-month,Fiber_optic
Female,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.2,222.65,No,0,0,4-12,0,1,0,1,1,0,Month-to-month,No
Male,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.6,1281.0,Yes,1,1,13-24,1,4,1,1,1,0,Month-to-month,Fiber_optic
Female,0,No,No,15,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,56.15,931.9,No,0,0,13-24,1,3,1,0,0,0,One_year,DSL
Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,220.35,No,0,0,4-12,0,1,0,0,0,0,Month-to-month,No
Female,0,Yes,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.25,401.95,No,0,0,13-24,0,1,0,1,0,0,Month-to-month,No
Male,1,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.05,1391.15,No,0,1,13-24,1,4,1,1,0,1,Month-to-month,Fiber_optic
Male,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,26.4,314.95,No,0,0,4-12,0,2,0,0,0,0,One_year,No
Male,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.35,184.05,No,0,0,4-12,0,2,0,0,0,0,Month-to-month,No
Male,1,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,228.65,No,0,0,13-24,0,1,0,0,0,0,One_year,No
Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,1,0-3,1,7,1,1,1,0,Month-to-month,Fiber_optic
Female,1,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,1,13-24,1,3,1,1,0,0,Month-to-month,Fiber_optic
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.75,44.75,No,0,0,0-3,1,2,0,1,1,0,Month-to-month,DSL
Male,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.05,24.05,Yes,1,0,0-3,0,2,0,1,0,0,Month-to-month,No
Female,0,No,No,10,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.7,832.05,Yes,1,1,4-12,1,4,1,1,0,0,Month-to-month,Fiber_optic
Male,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.55,284.9,No,0,1,4-12,1,2,0,1,0,0,Month-to-month,Fiber_optic
Male,0,Yes,Yes,8,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),51.3,411.6,No,0,0,4-12,1,3,1,1,0,1,Month-to-month,DSL
Male,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.65,332.65,No,0,0,13-24,0,1,0,0,0,0,One_year,No
Female,0,Yes,No,20,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.45,482.8,Yes,1,0,13-24,1,1,0,1,1,0,Month-to-month,DSL
Female,1,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.35,1835.3,No,0,1,13-24,1,4,1,1,0,0,Month-to-month,Fiber_optic
Male,1,No,No,8,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),100.3,832.35,Yes,1,1,4-12,1,6,1,0,0,1,Month-to-month,Fiber_optic
Female,1,No,No,1,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,55.8,55.8,Yes,1,0,0-3,1,4,1,1,1,0,Month-to-month,DSL
Male,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.85,493.4,No,0,0,13-24,0,2,0,1,0,1,Month-to-month,No
Male,0,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.0,1917.1,Yes,1,1,13-24,1,4,1,1,1,0,Month-to-month,Fiber_optic
Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,323.25,Yes,1,1,0-3,1,7,1,1,0,1,Month-to-month,Fiber_optic
Female,0,Yes,No,19,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.9,839.65,No,0,0,13-24,1,2,0,0,0,0,Month-to-month,DSL
Female,0,No,No,5,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,39.5,210.75,Yes,1,0,4-12,1,3,1,0,1,0,Month-to-month,DSL
Male,0,Yes,No,17,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,49.8,836.35,No,0,0,13-24,1,4,1,1,0,0,Month-to-month,DSL
Male,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.15,306.05,No,0,0,4-12,0,1,0,1,1,0,Month-to-month,No
Male,0,No,Yes,23,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,54.15,1312.45,No,0,0,13-24,1,4,1,0,1,0,Month-to-month,DSL
Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.1,1215.6,Yes,1,1,13-24,1,6,1,0,1,0,Month-to-month,Fiber_optic
Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.1,336.15,No,0,1,4-12,1,4,1,1,1,0,Month-to-month,Fiber_optic
Female,0,No,No,12,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,61.65,713.75,Yes,1,1,4-12,1,6,1,1,0,0,Month-to-month,DSL
Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,1,1,4-12,1,5,1,1,1,0,Month-to-month,Fiber_optic
Male,1,No,No,19,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.85,1471.75,Yes,1,1,13-24,1,4,1,1,1,0,Month-to-month,Fiber_optic
Male,0,No,No,24,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.45,1440.75,No,0,1,13-24,1,5,1,0,0,1,Month-to-month,DSL
Male,0,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.35,141.5,Yes,1,0,0-3,1,2,0,1,1,0,Month-to-month,DSL
Male,0,No,No,4,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,56.75,245.15,No,0,0,4-12,1,4,1,0,1,0,Month-to-month,DSL
Male,0,No,No,9,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,No,Mailed check,39.55,373.0,No,0,0,4-12,1,4,1,0,0,0,One_year,DSL
Female,0,Yes,Yes,7,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,34.65,246.6,No,0,0,4-12,1,3,1,0,0,0,Month-to-month,DSL
Female,0,No,Yes,18,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,64.8,1166.7,No,0,1,13-24,1,5,1,0,1,0,Month-to-month,DSL
Female,0,No,No,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,66.25,620.55,Yes,1,1,4-12,1,5,1,0,0,0,Month-to-month,DSL
Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.45,340.85,No,0,0,13-24,0,1,0,1,0,1,Month-to-month,No
Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.7,1761.45,Yes,1,1,13-24,1,5,1,1,1,0,Month-to-month,Fiber_optic
Female,1,Yes,Yes,12,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,29.3,355.9,No,0,0,4-12,1,2,0,1,0,0,Month-to-month,DSL
Male,0,Yes,Yes,8,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,43.45,345.5,No,0,0,4-12,1,2,0,1,0,0,One_year,DSL
Male,0,No,No,1,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.5,75.5,No,0,1,0-3,1,6,1,1,1,0,Month-to-month,DSL
Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.55,1021.75,No,0,1,4-12,1,5,1,1,1,0,Month-to-month,Fiber_optic
Female,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.9,497.3,No,0,1,4-12,1,2,0,1,0,0,Month-to-month,Fiber_optic
Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.55,1742.5,No,0,1,13-24,1,7,1,1,1,0,Month-to-month,Fiber_optic
Male,0,No,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,24.75,24.75,Yes,1,0,0-3,1,1,0,0,1,0,Month-to-month,DSL
Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,86.2,1270.2,Yes,1,1,13-24,1,4,1,0,1,0,Month-to-month,Fiber_optic
Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.95,147.5,No,0,0,4-12,0,1,0,1,0,0,Month-to-month,No
Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.2,25.2,Yes,1,0,0-3,1,1,0,1,1,0,Month-to-month,DSL
Female,0,No,No,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.9,29.9,No,0,0,0-3,1,2,0,0,0,0,Month-to-month,DSL
Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.2,474.8,Yes,1,1,4-12,1,4,1,1,1,0,Month-to-month,Fiber_optic
Female,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,593.3,No,0,1,4-12,1,5,1,1,0,0,One_year,DSL
Female,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.4,94.5,No,0,0,4-12,0,1,0,0,0,1,Month-to-month,No
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.0,74.0,No,0,1,0-3,1,3,1,0,1,0,Month-to-month,Fiber_optic
Male,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.9,490.55,No,0,1,4-12,1,3,1,1,1,0,Month-to-month,Fiber_optic
Male,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),89.05,1448.6,Yes,1,1,13-24,1,5,1,1,0,1,Month-to-month,Fiber_optic
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.15,70.15,Yes,1,1,0-3,1,2,0,1,0,0,Month-to-month,Fiber_optic
Female,0,No,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,73.75,1756.6,No,0,1,13-24,1,6,1,1,0,0,One_year,DSL
Male,1,No,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.5,1910.6,Yes,1,1,13-24,1,5,1,1,0,1,Month-to-month,Fiber_optic
Male,0,Yes,Yes,7,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,34.5,279.25,Yes,1,0,4-12,1,3,1,1,1,0,Month-to-month,DSL
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.0,44.0,No,0,0,0-3,1,2,0,0,1,0,Month-to-month,DSL
Male,0,Yes,No,18,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,49.55,878.35,Yes,1,0,13-24,1,3,1,1,0,0,Month-to-month,DSL
Male,1,No,No,20,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),71.3,1389.2,Yes,1,1,13-24,1,2,0,0,0,1,Month-to-month,Fiber_optic
Male,1,No,No,23,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),34.65,768.45,No,0,0,13-24,1,2,0,1,0,1,Month-to-month,DSL
Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.7,129.55,No,0,0,4-12,0,1,0,0,0,1,Month-to-month,No
Male,0,Yes,Yes,14,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,65.45,937.6,Yes,1,1,13-24,1,5,1,1,1,0,Month-to-month,DSL
